task,seed,subset,metric,value,n_test
CHEMBL218_EC50,117,overall,mae,0.5627743988504642,208
CHEMBL218_EC50,117,overall,r2,0.5114018994503927,208
CHEMBL218_EC50,117,overall,spearman,0.7076098958249988,208
CHEMBL218_EC50,117,overall,pearson,0.7197825662102807,208
CHEMBL218_EC50,117,cliff,rmse,0.7385302282341576,76
CHEMBL218_EC50,117,noncliff,rmse,0.7260868961397206,132
CHEMBL218_EC50,709,overall,rmse,0.734571922426193,208
CHEMBL218_EC50,709,overall,mae,0.5676005189761919,208
CHEMBL218_EC50,709,overall,r2,0.5061534152436178,208
CHEMBL218_EC50,709,overall,spearman,0.6983298928379018,208
CHEMBL218_EC50,709,overall,pearson,0.7172245370440031,208
CHEMBL218_EC50,709,cliff,rmse,0.7828688523410144,76
CHEMBL218_EC50,709,noncliff,rmse,0.7052658669099164,132
CHEMBL219_Ki,42,overall,rmse,0.8017402444066751,374
CHEMBL219_Ki,42,overall,mae,0.5991132516323963,374
CHEMBL219_Ki,42,overall,r2,0.4432384967281917,374
CHEMBL219_Ki,42,overall,spearman,0.6904290977907126,374
CHEMBL219_Ki,42,overall,pearson,0.6744847126066975,374
CHEMBL219_Ki,42,cliff,rmse,0.8455039465052122,148
CHEMBL219_Ki,42,noncliff,rmse,0.7717372375029576,226
CHEMBL219_Ki,117,overall,rmse,0.8015470349790705,374
CHEMBL219_Ki,117,overall,mae,0.601398976785415,374
CHEMBL219_Ki,117,overall,r2,0.44350680958988065,374
CHEMBL219_Ki,117,overall,spearman,0.6912253014293702,374
CHEMBL219_Ki,117,overall,pearson,0.6740340600941506,374
CHEMBL219_Ki,117,cliff,rmse,0.8629501798961716,148
CHEMBL219_Ki,117,noncliff,rmse,0.7586479441377988,226
CHEMBL219_Ki,709,overall,rmse,0.8076736644351924,374
CHEMBL219_Ki,709,overall,mae,0.6061543855156007,374
CHEMBL219_Ki,709,overall,r2,0.4349671795670559,374
CHEMBL219_Ki,709,overall,spearman,0.6873374145173545,374
CHEMBL219_Ki,709,overall,pearson,0.66771361567396,374
CHEMBL219_Ki,709,cliff,rmse,0.8539828900983556,148
CHEMBL219_Ki,709,noncliff,rmse,0.7758509484771182,226
CHEMBL228_Ki,42,overall,rmse,0.744184192126114,342
CHEMBL228_Ki,42,overall,mae,0.5718041390509517,342
CHEMBL228_Ki,42,overall,r2,0.6145942058776857,342
CHEMBL228_Ki,42,overall,spearman,0.7905977463858342,342
CHEMBL228_Ki,42,overall,pearson,0.788664135060675,342
CHEMBL228_Ki,42,cliff,rmse,0.7840645875996259,127
CHEMBL228_Ki,42,noncliff,rmse,0.7195893014482209,215
CHEMBL228_Ki,117,overall,rmse,0.7361078545233245,342
CHEMBL228_Ki,117,overall,mae,0.5677510794444619,342
CHEMBL228_Ki,117,overall,r2,0.6229141273828238,342
CHEMBL228_Ki,117,overall,spearman,0.7933693531212676,342
CHEMBL228_Ki,117,overall,pearson,0.7930222192619331,342
CHEMBL228_Ki,117,cliff,rmse,0.7704184062891073,127
CHEMBL228_Ki,117,noncliff,rmse,0.7150676611302438,215
CHEMBL228_Ki,709,overall,rmse,0.7209648779357702,342
CHEMBL228_Ki,709,overall,mae,0.5542048766873808,342
CHEMBL228_Ki,709,overall,r2,0.6382691280687739,342
CHEMBL228_Ki,709,overall,spearman,0.7957062744838637,342
CHEMBL228_Ki,709,overall,pearson,0.8019504500888528,342
CHEMBL228_Ki,709,cliff,rmse,0.7821223825449531,127
CHEMBL228_Ki,709,noncliff,rmse,0.6822685926187846,215
CHEMBL231_Ki,42,overall,rmse,0.7901763750150418,197
CHEMBL231_Ki,42,overall,mae,0.5671512232886048,197
CHEMBL231_Ki,42,overall,r2,0.6366291689668016,197
CHEMBL231_Ki,42,overall,spearman,0.8040128834182497,197
CHEMBL231_Ki,42,overall,pearson,0.8085216365899685,197
CHEMBL231_Ki,42,cliff,rmse,0.9069086402063605,48
CHEMBL231_Ki,42,noncliff,rmse,0.748705402117374,149
