mode,klass,pair_id,smiles_a,smiles_b,note
ez_flip,A,ez_flip_012,COc1ccccc1/C=C/C(=O)NC[C@H]1C[C@@]23CC[C@@]1(OC)[C@@H]1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5,COc1ccccc1/C=C\C(=O)NC[C@H]1C[C@@]23CC[C@@]1(OC)[C@@H]1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_013,COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)c(Cl)nn2)cc1,COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C\c3cc(Cl)ccc3-n3cnnn3)c(Cl)nn2)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_014,COC(=O)/C=C/c1cccc(N(Cc2ccc(-c3ccc(C)s3)cc2)C(=O)C2CCCCC2)c1,COC(=O)/C=C\c1cccc(N(Cc2ccc(-c3ccc(C)s3)cc2)C(=O)C2CCCCC2)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_015,COc1ccc2c(c1)C=C[C@@H]1C2=NO[C@H]1CN1CCN(C/C=C/c2ccccc2)CC1,COc1ccc2c(c1)C=C[C@@H]1C2=NO[C@H]1CN1CCN(C/C=C\c2ccccc2)CC1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_016,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)/C=C/c2ccccc2)CC1,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)/C=C\c2ccccc2)CC1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_017,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,COC1=C(OC)C(=O)C(C/C=C(/C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_018,O=C(NC1(c2ccccn2)CC1)c1nn(-c2ccc(Cl)c(Cl)c2)c2c1CCCC/C2=C\c1ccc(F)cc1,O=C(NC1(c2ccccn2)CC1)c1nn(-c2ccc(Cl)c(Cl)c2)c2c1CCCC/C2=C/c1ccc(F)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_019,COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C\c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_020,CCCCCCCC(=O)CC[C@@H]1[C@@H](C/C=C\CCCC(=O)OC(C)C)[C@@H](O)C[C@H]1O,CCCCCCCC(=O)CC[C@@H]1[C@@H](C/C=C/CCCC(=O)OC(C)C)[C@@H](O)C[C@H]1O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_021,COc1ccccc1N1CCN(CCCNC(=O)/N=N/c2ccc(F)cc2)CC1,COc1ccccc1N1CCN(CCCNC(=O)/N=N\c2ccc(F)cc2)CC1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_022,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)[O-],CC1(C)C[C@@H]1C(=O)N/C(=C/CCCCSC[C@H](N)C(=O)O)C(=O)[O-],flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_023,CC(C)(CN(CC(=O)NC(CCC/N=C/N)B(O)O)C(=O)CCc1ccccc1)c1ccccc1,CC(C)(CN(CC(=O)NC(CCC/N=C\N)B(O)O)C(=O)CCc1ccccc1)c1ccccc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_024,CCCc1nc2c(C)cccc2n1Cc1ccc2c(c1)COc1ccccc1/C2=C(\C)c1noc(=O)[nH]1,CCCc1nc2c(C)cccc2n1Cc1ccc2c(c1)COc1ccccc1/C2=C(/C)c1noc(=O)[nH]1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_025,CN(CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1)c1ccc2ccccc2c1,CN(CCOc1ccc(/C=C2/SC(=O)NC2=O)cc1)c1ccc2ccccc2c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_026,COc1ccc(/C=C/C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)cc1,COc1ccc(/C=C\C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_027,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C/C3CC3)c2)N=C1N,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C=C\C3CC3)c2)N=C1N,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_028,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccccc5Cl)[C@@H](C2)N(C)CC[C@]314,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C\c5ccccc5Cl)[C@@H](C2)N(C)CC[C@]314,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_029,O=C(N/N=C1\C(=O)N(CC2CCCCC2)c2ccccc21)c1ccccc1,O=C(N/N=C1/C(=O)N(CC2CCCCC2)c2ccccc21)c1ccccc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_030,O=C1/C(=C/c2ccccc2)Cc2ccc(OCCCN3CCCCC3)cc21,O=C1/C(=C\c2ccccc2)Cc2ccc(OCCCN3CCCCC3)cc21,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_031,COc1ccc(/C=N/NC(=O)c2ccncc2)cc1OC,COc1ccc(/C=N\NC(=O)c2ccncc2)cc1OC,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_032,Cc1cc2cc(/N=C(/NC#N)N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)ccc2o1,Cc1cc2cc(/N=C(\NC#N)N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)ccc2o1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_033,CC(C)(CCCOc1ccc(/C=C/c2ccc(C(F)(F)F)cc2)cc1)C(=O)O,CC(C)(CCCOc1ccc(/C=C\c2ccc(C(F)(F)F)cc2)cc1)C(=O)O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_034,CCCCC/C(=C/c1ccccc1)CO,CCCCC/C(=C\c1ccccc1)CO,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_035,O=C(O)C(Cc1ccccc1)Oc1ccc(/C=N/OCc2ccccc2)cc1,O=C(O)C(Cc1ccccc1)Oc1ccc(/C=N\OCc2ccccc2)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_036,N/C(=N\O)c1cccc(CN(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCCC2)c1,N/C(=N/O)c1cccc(CN(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCCC2)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_037,Cc1ccccc1/C=C/C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,Cc1ccccc1/C=C\C(=O)N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_038,O=C(O)c1nc2ccccc2n([C@H]2C[C@H]3CCC[C@@H](C2)N3C2/C=C\CCCCC2)c1=O,O=C(O)c1nc2ccccc2n([C@H]2C[C@H]3CCC[C@@H](C2)N3C2/C=C/CCCCC2)c1=O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_039,CN/C=N/c1ccc(C)cc1C,CN/C=N\c1ccc(C)cc1C,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_040,COC(=O)[C@@H]1C[C@H](OC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,COC(=O)[C@@H]1C[C@H](OC(=O)/C=C\c2ccc([N+](=O)[O-])cc2)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_041,CC(C(O)c1ccccc1)N(C)C/C=C/c1ccccc1,CC(C(O)c1ccccc1)N(C)C/C=C\c1ccccc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_042,CN(C/C=C/c1ccc(C[C@@H](C(=O)O)n2cccc2)cc1)c1ccccn1,CN(C/C=C\c1ccc(C[C@@H](C(=O)O)n2cccc2)cc1)c1ccccn1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_043,CCOC(=O)C1=C(c2ccccc2)c2ccc(OCCN3CCN(C)CC3)cc2/C1=[N+](/C)[O-],CCOC(=O)C1=C(c2ccccc2)c2ccc(OCCN3CCN(C)CC3)cc2/C1=[N+](\C)[O-],flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_044,N/C(=N\CCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5)NCc1ccccc1,N/C(=N/CCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5)NCc1ccccc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_045,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12C/C(=C\c1ccccc1)[C@@H]3c1[nH]c3ccccc3c1C2,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12C/C(=C/c1ccccc1)[C@@H]3c1[nH]c3ccccc3c1C2,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_046,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccc(F)cc4)CC3)[C@@H]1CO2,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(/C)c4ccc(F)cc4)CC3)[C@@H]1CO2,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_047,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccccc2)c1)C(=O)O,CCO[C@@H](Cc1cccc(/C(C)=N\OCc2ccccc2)c1)C(=O)O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_048,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3ccc(F)cc3)cc2)C(=O)C(C)C)c1,COC(=O)/C=C\c1cccc(N(Cc2ccc(/C=C/c3ccc(F)cc3)cc2)C(=O)C(C)C)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_049,CC/C(=N\OCc1sc(-c2ccc(C(F)(F)F)cc2)nc1C)c1ccc(OCC(=O)O)c(C)c1,CC/C(=N/OCc1sc(-c2ccc(C(F)(F)F)cc2)nc1C)c1ccc(OCC(=O)O)c(C)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_050,CCCCCOc1cc2ccccc2cc1C(O)C/C=C/CCCC(=O)OC,CCCCCOc1cc2ccccc2cc1C(O)C/C=C\CCCC(=O)OC,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_051,COc1ccc(/C=C2\CN(C(=O)c3cc[nH]n3)Cc3c(C(=O)N[C@H](C)c4ccccc4)nn(-c4ccc(Cl)cc4Cl)c32)cc1,COc1ccc(/C=C2/CN(C(=O)c3cc[nH]n3)Cc3c(C(=O)N[C@H](C)c4ccccc4)nn(-c4ccc(Cl)cc4Cl)c32)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_052,N=C(N)c1ccc(O)c(/C=C/CNC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,N=C(N)c1ccc(O)c(/C=C\CNC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_053,CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2,CCN/C(=N/S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2,flipped double-bond geometry E<->Z
