embedding,mode,klass,pair_id,cosine,tanimoto,identical,bg_median,separation
Morgan r3-counts,add_methyl,A,add_methyl_715,0.05664926767349243,0.24324321746826172,False,0.4091356098651886,0.13846085965633392
Morgan r3-counts,add_methyl,A,add_methyl_716,0.08455264568328857,0.23255813121795654,False,0.4584304392337799,0.18443942070007324
Morgan r3-counts,add_methyl,A,add_methyl_717,0.07962477207183838,0.4492753744125366,False,0.5099987983703613,0.15612737834453583
Morgan r3-counts,add_methyl,A,add_methyl_718,0.06064450740814209,0.26050418615341187,False,0.38908690214157104,0.1558636575937271
Morgan r3-counts,add_methyl,A,add_methyl_719,0.06992435455322266,0.251655638217926,False,0.4361251890659332,0.16033092141151428
Morgan r3-counts,add_methyl,A,add_methyl_720,0.14668965339660645,0.42105263471603394,False,0.4914622902870178,0.2984759211540222
Morgan r3-counts,add_methyl,A,add_methyl_721,0.08400130271911621,0.26153844594955444,False,0.43565264344215393,0.19281715154647827
Morgan r3-counts,add_methyl,A,add_methyl_722,0.07290560007095337,0.28260868787765503,False,0.4294576048851013,0.1697620451450348
Morgan r3-counts,add_methyl,A,add_methyl_723,0.10546690225601196,0.3650793433189392,False,0.4073023796081543,0.25894007086753845
Morgan r3-counts,add_methyl,A,add_methyl_724,0.041445791721343994,0.2857142686843872,False,0.3883632719516754,0.10671913623809814
Morgan r3-counts,add_methyl,A,add_methyl_725,0.07943040132522583,0.29914528131484985,False,0.622683048248291,0.1275615245103836
Morgan r3-counts,add_methyl,A,add_methyl_726,0.03825712203979492,0.22448980808258057,False,0.3767196536064148,0.1015532910823822
Morgan r3-counts,add_methyl,A,add_methyl_727,0.06787502765655518,0.23966944217681885,False,0.4081113636493683,0.166314959526062
Morgan r3-counts,add_methyl,A,add_methyl_728,0.12014412879943848,0.3870967626571655,False,0.4858075976371765,0.24730804562568665
Morgan r3-counts,add_methyl,A,add_methyl_729,0.07757759094238281,0.3396226167678833,False,0.39600837230682373,0.1958988606929779
Morgan r3-counts,add_methyl,A,add_methyl_730,0.05117237567901611,0.21875,False,0.38422891497612,0.13318200409412384
Morgan r3-counts,add_methyl,A,add_methyl_731,0.07642525434494019,0.2647058963775635,False,0.5378466844558716,0.14209486544132233
Morgan r3-counts,add_methyl,A,add_methyl_732,0.038481056690216064,0.2238805890083313,False,0.394807904958725,0.09746779501438141
Morgan r3-counts,add_methyl,A,add_methyl_733,0.10709172487258911,0.321739137172699,False,0.5038360357284546,0.2125527262687683
Morgan r3-counts,add_methyl,A,add_methyl_734,0.04526543617248535,0.2514970302581787,False,0.691640317440033,0.06544649600982666
Morgan r3-counts,add_methyl,A,add_methyl_735,0.08482146263122559,0.2706766724586487,False,0.43333175778388977,0.19574254751205444
Morgan r3-counts,add_methyl,A,add_methyl_736,0.10306960344314575,0.33070868253707886,False,0.5615444779396057,0.18354664742946625
Morgan r3-counts,add_methyl,A,add_methyl_737,0.07720029354095459,0.3734939694404602,False,0.48034799098968506,0.1607174277305603
Morgan r3-counts,add_methyl,A,add_methyl_738,0.07931113243103027,0.27819550037384033,False,0.4180019497871399,0.1897386610507965
