klass,mode,embedding,n,median_separation,median_cosine,identical,success,magnitude_eps0.001,magnitude_eps0.01,magnitude_eps0.05
A,matched_mw,random encoder,100,1.0219027400016785,0.7044651508331299,0,100.0,100.0,100.0,100.0
A,matched_mw,ECFP4 stereo-blind,100,0.9823201894760132,0.8604646325111389,0,100.0,100.0,100.0,100.0
A,matched_descriptors,ECFP4+stereo,100,0.7362655103206635,0.5948422849178314,0,100.0,100.0,100.0,100.0
A,matched_descriptors,ECFP4+desc,100,0.3485995978116989,0.33118006587028503,0,100.0,100.0,100.0,99.0
A,matched_descriptors,CLIMB sup,100,0.3270604908466339,0.04069986939430237,0,100.0,100.0,100.0,98.0
A,matched_descriptors,CLIMB unsup,100,0.5810777246952057,0.1883695125579834,0,100.0,100.0,100.0,100.0
A,matched_descriptors,CheMeleon,100,0.41688816249370575,0.1590518355369568,0,100.0,100.0,100.0,100.0
A,matched_descriptors,random encoder,100,0.47038935124874115,0.054519593715667725,0,100.0,100.0,100.0,100.0
A,matched_descriptors,ECFP4 stereo-blind,100,0.7354207634925842,0.587823897600174,0,100.0,100.0,100.0,100.0
B,smiles_enumeration,ECFP4+stereo,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,smiles_enumeration,ECFP4+desc,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,smiles_enumeration,CLIMB sup,100,0.1710396558046341,0.022950053215026855,0,0.0,0.0,2.0,7.0
B,smiles_enumeration,CLIMB unsup,100,0.44092945754528046,0.13996946811676025,0,0.0,0.0,0.0,0.0
B,smiles_enumeration,CheMeleon,100,0.0,0.0,0,79.0,100.0,100.0,100.0
B,smiles_enumeration,random encoder,100,0.34373290836811066,0.04480847716331482,0,0.0,1.0,1.0,3.0
B,smiles_enumeration,ECFP4 stereo-blind,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,kekule,ECFP4+stereo,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,kekule,ECFP4+desc,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,kekule,CLIMB sup,100,4.385305881500244,0.5765158236026764,0,0.0,0.0,0.0,0.0
B,kekule,CLIMB unsup,100,1.3545579314231873,0.38618648052215576,0,0.0,0.0,0.0,1.0
B,kekule,CheMeleon,100,0.0,0.0,78,99.0,100.0,100.0,100.0
B,kekule,random encoder,100,4.923267841339111,0.5642655491828918,0,0.0,0.0,0.0,0.0
B,kekule,ECFP4 stereo-blind,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,ECFP4+stereo,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,ECFP4+desc,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,CLIMB sup,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,CLIMB unsup,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,CheMeleon,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,random encoder,100,0.0,0.0,100,100.0,100.0,100.0,100.0
B,symmetry_equivalent,ECFP4 stereo-blind,100,0.0,0.0,100,100.0,100.0,100.0,100.0
