input,klass,mode,embedding,short,relative_response,q1,q3,ci_lo,ci_hi,n,reference_matched_mw
as_written,A,add_methyl,CLIMB unsup (enum-aug),uns-ENUM,0.1479,0.0923,0.2234,0.1389,0.1565,1000,2.3076
as_written,A,c_to_n,CLIMB unsup (enum-aug),uns-ENUM,0.0848,0.0685,0.1148,0.0809,0.0882,1000,2.3076
as_written,A,ez_flip,CLIMB unsup (enum-aug),uns-ENUM,0.0386,0.0314,0.0498,0.037,0.04,1000,2.3076
as_written,A,isotope_13c,CLIMB unsup (enum-aug),uns-ENUM,0.2103,0.1619,0.2884,0.2004,0.2183,1000,2.3076
as_written,B,kekule,CLIMB unsup (enum-aug),uns-ENUM,0.7801,0.6434,0.9059,0.7503,0.811,1000,2.3076
as_written,A,matched_descriptors,CLIMB unsup (enum-aug),uns-ENUM,0.3508,0.2878,0.4315,0.3374,0.3625,1000,2.3076
as_written,A,matched_mw,CLIMB unsup (enum-aug),uns-ENUM,1.0,0.7139,1.3145,0.9592,1.0449,1000,2.3076
as_written,A,regioisomer,CLIMB unsup (enum-aug),uns-ENUM,0.3774,0.3265,0.4544,0.3638,0.391,1000,2.3076
as_written,A,ring_size,CLIMB unsup (enum-aug),uns-ENUM,0.043,0.0371,0.0557,0.0413,0.0443,1000,2.3076
as_written,B,smiles_enumeration,CLIMB unsup (enum-aug),uns-ENUM,0.2885,0.2354,0.3467,0.2778,0.298,1000,2.3076
as_written,A,stereo_flip,CLIMB unsup (enum-aug),uns-ENUM,0.0318,0.0262,0.0392,0.0305,0.0331,1000,2.3076
as_written,B,symmetry_equivalent,CLIMB unsup (enum-aug),uns-ENUM,0.0,0.0,0.0,0.0,0.0,1000,2.3076
canonical,A,add_fluorine,ECFP4 stereo-blind,ECFP-blind,0.7702,0.6673,0.8918,0.7518,0.7922,1000,0.9093
canonical,A,add_methyl,ECFP4 stereo-blind,ECFP-blind,0.7641,0.6427,0.8912,0.7476,0.7813,1000,0.9093
canonical,A,c_to_n,ECFP4 stereo-blind,ECFP-blind,0.7706,0.6432,0.8966,0.7511,0.7935,1000,0.9093
canonical,A,ez_flip,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
canonical,A,isotope_13c,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
canonical,B,kekule,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
canonical,A,matched_descriptors,ECFP4 stereo-blind,ECFP-blind,1.312,1.0978,1.4882,1.2795,1.3426,1000,0.9093
canonical,A,matched_mw,ECFP4 stereo-blind,ECFP-blind,1.0,0.8546,1.153,0.9755,1.0251,1000,0.9093
canonical,A,regioisomer,ECFP4 stereo-blind,ECFP-blind,0.8331,0.7335,0.9371,0.812,0.8507,1000,0.9093
canonical,A,ring_size,ECFP4 stereo-blind,ECFP-blind,0.1122,0.1122,0.1122,0.1102,0.114,1000,0.9093
canonical,B,smiles_enumeration,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
canonical,A,stereo_flip,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
canonical,B,symmetry_equivalent,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
as_written,A,add_fluorine,ECFP4 stereo-blind,ECFP-blind,0.7702,0.6673,0.8918,0.752,0.7913,1000,0.9093
as_written,A,add_methyl,ECFP4 stereo-blind,ECFP-blind,0.7641,0.6427,0.8912,0.7478,0.7811,1000,0.9093
as_written,A,c_to_n,ECFP4 stereo-blind,ECFP-blind,0.7706,0.6432,0.8966,0.753,0.7929,1000,0.9093
as_written,A,ez_flip,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
as_written,A,isotope_13c,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
as_written,B,kekule,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
as_written,A,matched_descriptors,ECFP4 stereo-blind,ECFP-blind,1.312,1.0978,1.4882,1.2787,1.3418,1000,0.9093
as_written,A,matched_mw,ECFP4 stereo-blind,ECFP-blind,1.0,0.8546,1.153,0.9738,1.0244,1000,0.9093
as_written,A,regioisomer,ECFP4 stereo-blind,ECFP-blind,0.8331,0.7335,0.9371,0.8137,0.8506,1000,0.9093
as_written,A,ring_size,ECFP4 stereo-blind,ECFP-blind,0.1122,0.1122,0.1122,0.1102,0.1139,1000,0.9093
as_written,B,smiles_enumeration,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
as_written,A,stereo_flip,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
as_written,B,symmetry_equivalent,ECFP4 stereo-blind,ECFP-blind,0.0,0.0,0.0,0.0,0.0,1000,0.9093
canonical,A,add_fluorine,ECFP4+desc,ECFP+d,0.7154,0.6194,0.8221,0.6995,0.7358,1000,0.9361
canonical,A,add_methyl,ECFP4+desc,ECFP+d,0.6999,0.6036,0.8175,0.6857,0.7159,1000,0.9361
canonical,A,c_to_n,ECFP4+desc,ECFP+d,0.7082,0.5977,0.8215,0.6924,0.7292,1000,0.9361
canonical,A,ez_flip,ECFP4+desc,ECFP+d,0.8791,0.797,0.9593,0.8617,0.8976,1000,0.9361
canonical,A,isotope_13c,ECFP4+desc,ECFP+d,0.0058,0.0039,0.0126,0.0055,0.0061,1000,0.9361
canonical,B,kekule,ECFP4+desc,ECFP+d,0.0,0.0,0.0,0.0,0.0,1000,0.9361
canonical,A,matched_descriptors,ECFP4+desc,ECFP+d,1.2265,1.0231,1.3894,1.1959,1.2541,1000,0.9361
canonical,A,matched_mw,ECFP4+desc,ECFP+d,1.0,0.8634,1.1418,0.9757,1.0276,1000,0.9361
canonical,A,regioisomer,ECFP4+desc,ECFP+d,0.7787,0.6849,0.8702,0.7615,0.7958,1000,0.9361
canonical,A,ring_size,ECFP4+desc,ECFP+d,0.1035,0.102,0.1046,0.1019,0.1053,1000,0.9361
canonical,B,smiles_enumeration,ECFP4+desc,ECFP+d,0.0,0.0,0.0,0.0,0.0,1000,0.9361
canonical,A,stereo_flip,ECFP4+desc,ECFP+d,0.6517,0.4263,0.7773,0.6298,0.6728,1000,0.9361
canonical,B,symmetry_equivalent,ECFP4+desc,ECFP+d,0.0,0.0,0.0,0.0,0.0,1000,0.9361
as_written,A,add_fluorine,ECFP4+desc,ECFP+d,0.7154,0.6194,0.8221,0.7004,0.7346,1000,0.9361
as_written,A,add_methyl,ECFP4+desc,ECFP+d,0.6999,0.6036,0.8175,0.6847,0.7161,1000,0.9361
as_written,A,c_to_n,ECFP4+desc,ECFP+d,0.7082,0.5977,0.8215,0.6923,0.7276,1000,0.9361
as_written,A,ez_flip,ECFP4+desc,ECFP+d,0.8791,0.797,0.9593,0.8621,0.8974,1000,0.9361
as_written,A,isotope_13c,ECFP4+desc,ECFP+d,0.0058,0.0039,0.0126,0.0055,0.0061,1000,0.9361
as_written,B,kekule,ECFP4+desc,ECFP+d,0.0,0.0,0.0,0.0,0.0,1000,0.9361
as_written,A,matched_descriptors,ECFP4+desc,ECFP+d,1.2265,1.0231,1.3894,1.1962,1.2555,1000,0.9361
as_written,A,matched_mw,ECFP4+desc,ECFP+d,1.0001,0.8635,1.1418,0.9763,1.0265,1000,0.9361
as_written,A,regioisomer,ECFP4+desc,ECFP+d,0.7787,0.6849,0.8702,0.7606,0.7959,1000,0.9361
as_written,A,ring_size,ECFP4+desc,ECFP+d,0.1035,0.102,0.1046,0.1019,0.1053,1000,0.9361
as_written,B,smiles_enumeration,ECFP4+desc,ECFP+d,0.0,0.0,0.0,0.0,0.0,1000,0.9361
as_written,A,stereo_flip,ECFP4+desc,ECFP+d,0.6517,0.4263,0.7773,0.6301,0.6725,1000,0.9361
as_written,B,symmetry_equivalent,ECFP4+desc,ECFP+d,0.0,0.0,0.0,0.0,0.0,1000,0.9361
