task,features,metric,fold,value
HIV,fp+CLMsup,nef1,2,0.795181
HIV,fp+CLMsup,nef1,3,0.698795
HIV,fp+CLMsup,nef1,4,0.73494
HIV,desc+CLMsup,roc_auc,0,0.803012
HIV,desc+CLMsup,roc_auc,1,0.774761
HIV,desc+CLMsup,roc_auc,2,0.86301
HIV,desc+CLMsup,roc_auc,3,0.778402
HIV,desc+CLMsup,roc_auc,4,0.825537
HIV,desc+CLMsup,nef1,0,0.650602
HIV,desc+CLMsup,nef1,1,0.590361
HIV,desc+CLMsup,nef1,2,0.722892
HIV,desc+CLMsup,nef1,3,0.674699
HIV,desc+CLMsup,nef1,4,0.759036
HIV,fp+desc+CLMsup,roc_auc,0,0.800428
HIV,fp+desc+CLMsup,roc_auc,1,0.79864
HIV,fp+desc+CLMsup,roc_auc,2,0.865174
HIV,fp+desc+CLMsup,roc_auc,3,0.787317
HIV,fp+desc+CLMsup,roc_auc,4,0.823192
HIV,fp+desc+CLMsup,nef1,0,0.626506
HIV,fp+desc+CLMsup,nef1,1,0.566265
HIV,fp+desc+CLMsup,nef1,2,0.783133
HIV,fp+desc+CLMsup,nef1,3,0.686747
HIV,fp+desc+CLMsup,nef1,4,0.771084
