task,features,metric,fold,value
HIV,fp+CLMunsup,roc_auc,3,0.759183
HIV,fp+CLMunsup,roc_auc,4,0.787841
HIV,fp+CLMunsup,nef1,0,0.626506
HIV,fp+CLMunsup,nef1,1,0.638554
HIV,fp+CLMunsup,nef1,2,0.783133
HIV,fp+CLMunsup,nef1,3,0.638554
HIV,fp+CLMunsup,nef1,4,0.722892
HIV,desc+CLMunsup,roc_auc,0,0.770936
HIV,desc+CLMunsup,roc_auc,1,0.756627
HIV,desc+CLMunsup,roc_auc,2,0.841698
HIV,desc+CLMunsup,roc_auc,3,0.762258
HIV,desc+CLMunsup,roc_auc,4,0.791702
HIV,desc+CLMunsup,nef1,0,0.614458
HIV,desc+CLMunsup,nef1,1,0.542169
HIV,desc+CLMunsup,nef1,2,0.698795
HIV,desc+CLMunsup,nef1,3,0.686747
HIV,desc+CLMunsup,nef1,4,0.73494
HIV,fp+desc+CLMunsup,roc_auc,0,0.782523
HIV,fp+desc+CLMunsup,roc_auc,1,0.772891
HIV,fp+desc+CLMunsup,roc_auc,2,0.855469
HIV,fp+desc+CLMunsup,roc_auc,3,0.780886
HIV,fp+desc+CLMunsup,roc_auc,4,0.810908
HIV,fp+desc+CLMunsup,nef1,0,0.674699
HIV,fp+desc+CLMunsup,nef1,1,0.554217
HIV,fp+desc+CLMunsup,nef1,2,0.722892
HIV,fp+desc+CLMunsup,nef1,3,0.73494
HIV,fp+desc+CLMunsup,nef1,4,0.771084
