task,features,metric,fold,value
HIV,fp,roc_auc,0,0.790777
HIV,fp,roc_auc,1,0.76989
HIV,fp,roc_auc,2,0.850667
HIV,fp,roc_auc,3,0.788106
HIV,fp,roc_auc,4,0.817298
HIV,fp,nef1,0,0.662651
HIV,fp,nef1,1,0.626506
HIV,fp,nef1,2,0.855422
HIV,fp,nef1,3,0.674699
HIV,fp,nef1,4,0.746988
HIV,desc,roc_auc,0,0.789538
HIV,desc,roc_auc,1,0.784124
HIV,desc,roc_auc,2,0.852309
HIV,desc,roc_auc,3,0.792413
HIV,desc,roc_auc,4,0.825876
HIV,desc,nef1,0,0.710843
HIV,desc,nef1,1,0.590361
HIV,desc,nef1,2,0.759036
HIV,desc,nef1,3,0.686747
HIV,desc,nef1,4,0.759036
HIV,fp+desc,roc_auc,0,0.806334
HIV,fp+desc,roc_auc,1,0.793549
HIV,fp+desc,roc_auc,2,0.871916
HIV,fp+desc,roc_auc,3,0.806145
HIV,fp+desc,roc_auc,4,0.825256
HIV,fp+desc,nef1,0,0.73494
HIV,fp+desc,nef1,1,0.60241
HIV,fp+desc,nef1,2,0.771084
HIV,fp+desc,nef1,3,0.722892
HIV,fp+desc,nef1,4,0.759036
