task,features,metric,fold,value
HIV,desc+CheMel,roc_auc,1,0.787785
HIV,desc+CheMel,roc_auc,2,0.858942
HIV,desc+CheMel,roc_auc,3,0.780088
HIV,desc+CheMel,roc_auc,4,0.820627
HIV,desc+CheMel,nef1,0,0.662651
HIV,desc+CheMel,nef1,1,0.710843
HIV,desc+CheMel,nef1,2,0.783133
HIV,desc+CheMel,nef1,3,0.710843
HIV,desc+CheMel,nef1,4,0.771084
HIV,fp+desc+CheMel,roc_auc,0,0.805391
HIV,fp+desc+CheMel,roc_auc,1,0.801596
HIV,fp+desc+CheMel,roc_auc,2,0.850039
HIV,fp+desc+CheMel,roc_auc,3,0.786338
HIV,fp+desc+CheMel,roc_auc,4,0.818596
HIV,fp+desc+CheMel,nef1,0,0.698795
HIV,fp+desc+CheMel,nef1,1,0.686747
HIV,fp+desc+CheMel,nef1,2,0.795181
HIV,fp+desc+CheMel,nef1,3,0.73494
HIV,fp+desc+CheMel,nef1,4,0.73494
