task,features,metric,fold,value
HIV,desc+CheMel,roc_auc,1,0.804441
HIV,desc+CheMel,roc_auc,2,0.85327
HIV,desc+CheMel,roc_auc,3,0.782814
HIV,desc+CheMel,roc_auc,4,0.816708
HIV,desc+CheMel,nef1,0,0.650602
HIV,desc+CheMel,nef1,1,0.650602
HIV,desc+CheMel,nef1,2,0.771084
HIV,desc+CheMel,nef1,3,0.698795
HIV,desc+CheMel,nef1,4,0.771084
HIV,fp+desc+CheMel,roc_auc,0,0.793308
HIV,fp+desc+CheMel,roc_auc,1,0.794088
HIV,fp+desc+CheMel,roc_auc,2,0.841613
HIV,fp+desc+CheMel,roc_auc,3,0.792865
HIV,fp+desc+CheMel,roc_auc,4,0.819964
HIV,fp+desc+CheMel,nef1,0,0.650602
HIV,fp+desc+CheMel,nef1,1,0.614458
HIV,fp+desc+CheMel,nef1,2,0.783133
HIV,fp+desc+CheMel,nef1,3,0.698795
HIV,fp+desc+CheMel,nef1,4,0.759036
