task,seed,subset,metric,value,n_test
CHEMBL235_EC50,709,overall,pearson,0.7787439636148872,472
CHEMBL235_EC50,709,cliff,rmse,0.7784083135727158,178
CHEMBL235_EC50,709,noncliff,rmse,0.6226292087205175,294
CHEMBL236_Ki,42,overall,rmse,0.7648064794703235,521
CHEMBL236_Ki,42,overall,mae,0.5622984606589351,521
CHEMBL236_Ki,42,overall,r2,0.674067999798446,521
CHEMBL236_Ki,42,overall,spearman,0.8186614023565509,521
CHEMBL236_Ki,42,overall,pearson,0.8236252542495727,521
CHEMBL236_Ki,42,cliff,rmse,0.8149783006009446,204
CHEMBL236_Ki,42,noncliff,rmse,0.7306997184105973,317
CHEMBL236_Ki,117,overall,rmse,0.7777899568567669,521
CHEMBL236_Ki,117,overall,mae,0.5724929670233474,521
CHEMBL236_Ki,117,overall,r2,0.6629079216911468,521
CHEMBL236_Ki,117,overall,spearman,0.814432219885923,521
CHEMBL236_Ki,117,overall,pearson,0.8203253802371148,521
CHEMBL236_Ki,117,cliff,rmse,0.8062558130660492,204
CHEMBL236_Ki,117,noncliff,rmse,0.7589067952842875,317
CHEMBL236_Ki,709,overall,rmse,0.7687232968366591,521
CHEMBL236_Ki,709,overall,mae,0.5734405415311162,521
CHEMBL236_Ki,709,overall,r2,0.6707210482971423,521
CHEMBL236_Ki,709,overall,spearman,0.8135563622293385,521
CHEMBL236_Ki,709,overall,pearson,0.8212482358365873,521
CHEMBL236_Ki,709,cliff,rmse,0.815248361437206,204
CHEMBL236_Ki,709,noncliff,rmse,0.7372318022102501,317
CHEMBL237_EC50,42,overall,rmse,0.7669840588953712,193
CHEMBL237_EC50,42,overall,mae,0.6141020633150784,193
CHEMBL237_EC50,42,overall,r2,0.7182859344395524,193
CHEMBL237_EC50,42,overall,spearman,0.848490665562737,193
CHEMBL237_EC50,42,overall,pearson,0.8505293947484008,193
CHEMBL237_EC50,42,cliff,rmse,0.8082867383496253,91
CHEMBL237_EC50,42,noncliff,rmse,0.7281608541929968,102
CHEMBL237_EC50,117,overall,rmse,0.7465197420611452,193
CHEMBL237_EC50,117,overall,mae,0.6023336030462826,193
CHEMBL237_EC50,117,overall,r2,0.7331185118305926,193
CHEMBL237_EC50,117,overall,spearman,0.8504169782597082,193
CHEMBL237_EC50,117,overall,pearson,0.8589067976347936,193
CHEMBL237_EC50,117,cliff,rmse,0.7908403753262221,91
CHEMBL237_EC50,117,noncliff,rmse,0.704629714668728,102
CHEMBL237_EC50,709,overall,rmse,0.7571421727471285,193
CHEMBL237_EC50,709,overall,mae,0.6026675621639916,193
CHEMBL237_EC50,709,overall,r2,0.7254694184683503,193
CHEMBL237_EC50,709,overall,spearman,0.8509411222691096,193
CHEMBL237_EC50,709,overall,pearson,0.8547565292442358,193
CHEMBL237_EC50,709,cliff,rmse,0.8009904454753849,91
CHEMBL237_EC50,709,noncliff,rmse,0.7157589276191387,102
CHEMBL237_Ki,42,overall,rmse,0.788689944897903,522
CHEMBL237_Ki,42,overall,mae,0.5873607076607213,522
CHEMBL237_Ki,42,overall,r2,0.6563188656785711,522
CHEMBL237_Ki,42,overall,spearman,0.8072471968197448,522
CHEMBL237_Ki,42,overall,pearson,0.8142878847410254,522
CHEMBL237_Ki,42,cliff,rmse,0.807203359376131,223
CHEMBL237_Ki,42,noncliff,rmse,0.7745942623275704,299
CHEMBL237_Ki,117,overall,rmse,0.774264727675128,522
CHEMBL237_Ki,117,overall,mae,0.5792231021766525,522
CHEMBL237_Ki,117,overall,r2,0.6687758187971761,522
CHEMBL237_Ki,117,overall,spearman,0.8184778457759739,522
CHEMBL237_Ki,117,overall,pearson,0.8260832312116556,522
CHEMBL237_Ki,117,cliff,rmse,0.829893068211974,223
CHEMBL237_Ki,117,noncliff,rmse,0.7300215437051448,299
CHEMBL237_Ki,709,overall,rmse,0.7717302138822656,522
CHEMBL237_Ki,709,overall,mae,0.5809359632166097,522
CHEMBL237_Ki,709,overall,r2,0.6709407585381664,522
CHEMBL237_Ki,709,overall,spearman,0.8182749437368677,522
CHEMBL237_Ki,709,overall,pearson,0.8267721078794398,522
CHEMBL237_Ki,709,cliff,rmse,0.8248852081804651,223
CHEMBL237_Ki,709,noncliff,rmse,0.7295692290368905,299
CHEMBL238_Ki,42,overall,rmse,0.7109944490765009,213
CHEMBL238_Ki,42,overall,mae,0.5490224133122843,213
CHEMBL238_Ki,42,overall,r2,0.6272835741120827,213
CHEMBL238_Ki,42,overall,spearman,0.7974510792492568,213
CHEMBL238_Ki,42,overall,pearson,0.7931983306552925,213
CHEMBL238_Ki,42,cliff,rmse,0.7984478637449779,55
CHEMBL238_Ki,42,noncliff,rmse,0.6779097957152047,158
CHEMBL238_Ki,117,overall,rmse,0.7131172500636259,213
CHEMBL238_Ki,117,overall,mae,0.5586791600899232,213
CHEMBL238_Ki,117,overall,r2,0.6250546286217393,213
CHEMBL238_Ki,117,overall,spearman,0.7950916573324623,213
CHEMBL238_Ki,117,overall,pearson,0.7909089346376518,213
CHEMBL238_Ki,117,cliff,rmse,0.804481008615001,55
CHEMBL238_Ki,117,noncliff,rmse,0.6784325759660179,158
CHEMBL238_Ki,709,overall,rmse,0.7249716877429345,213
CHEMBL238_Ki,709,overall,mae,0.5520864162187847,213
CHEMBL238_Ki,709,overall,r2,0.6124852787218502,213
CHEMBL238_Ki,709,overall,spearman,0.7902250391788218,213
CHEMBL238_Ki,709,overall,pearson,0.7841732747626513,213
CHEMBL238_Ki,709,cliff,rmse,0.8356056792622124,55
CHEMBL238_Ki,709,noncliff,rmse,0.6822633317727591,158
CHEMBL239_EC50,42,overall,rmse,0.7288661145335961,347
CHEMBL239_EC50,42,overall,mae,0.5500270988507261,347
CHEMBL239_EC50,42,overall,r2,0.5585866304405716,347
CHEMBL239_EC50,42,overall,spearman,0.7428661858040012,347
CHEMBL239_EC50,42,overall,pearson,0.7565334639960748,347
CHEMBL239_EC50,42,cliff,rmse,0.8298021960907074,141
CHEMBL239_EC50,42,noncliff,rmse,0.6508161028636217,206
CHEMBL239_EC50,117,overall,rmse,0.7437224021800086,347
CHEMBL239_EC50,117,overall,mae,0.5584462314013934,347
CHEMBL239_EC50,117,overall,r2,0.540408815743563,347
CHEMBL239_EC50,117,overall,spearman,0.7335057921223459,347
CHEMBL239_EC50,117,overall,pearson,0.7453107098281913,347
CHEMBL239_EC50,117,cliff,rmse,0.8589165745555257,141
CHEMBL239_EC50,117,noncliff,rmse,0.6532691197604483,206
CHEMBL239_EC50,709,overall,rmse,0.7251178129362796,347
CHEMBL239_EC50,709,overall,mae,0.5440406232581391,347
CHEMBL239_EC50,709,overall,r2,0.5631150232972122,347
CHEMBL239_EC50,709,overall,spearman,0.7430669441478224,347
CHEMBL239_EC50,709,overall,pearson,0.7574029928663314,347
CHEMBL239_EC50,709,cliff,rmse,0.8555759963716154,141
CHEMBL239_EC50,709,noncliff,rmse,0.6202008253291417,206
CHEMBL244_Ki,42,overall,rmse,0.7647247861614294,621
CHEMBL244_Ki,42,overall,mae,0.580282950066369,621
CHEMBL244_Ki,42,overall,r2,0.7755794460514404,621
CHEMBL244_Ki,42,overall,spearman,0.8858880175097598,621
CHEMBL244_Ki,42,overall,pearson,0.8835004630446452,621
CHEMBL244_Ki,42,cliff,rmse,0.8112533999124661,296
CHEMBL244_Ki,42,noncliff,rmse,0.7197353953232586,325
CHEMBL244_Ki,117,overall,rmse,0.7710786301634505,621
CHEMBL244_Ki,117,overall,mae,0.5834300854777348,621
CHEMBL244_Ki,117,overall,r2,0.7718346818723537,621
CHEMBL244_Ki,117,overall,spearman,0.8806447103178004,621
CHEMBL244_Ki,117,overall,pearson,0.8792080770794688,621
CHEMBL244_Ki,117,cliff,rmse,0.8267404296875079,296
CHEMBL244_Ki,117,noncliff,rmse,0.716631516078445,325
CHEMBL244_Ki,709,overall,rmse,0.7697678604061383,621
CHEMBL244_Ki,709,overall,mae,0.5871239812648696,621
CHEMBL244_Ki,709,overall,r2,0.7726097467957115,621
CHEMBL244_Ki,709,overall,spearman,0.882021529428212,621
CHEMBL244_Ki,709,overall,pearson,0.8809439519824919,621
CHEMBL244_Ki,709,cliff,rmse,0.8171748811989712,296
CHEMBL244_Ki,709,noncliff,rmse,0.723894578582417,325
CHEMBL262_Ki,42,overall,rmse,0.7933912842776019,173
CHEMBL262_Ki,42,overall,mae,0.629451548386092,173
CHEMBL262_Ki,42,overall,r2,0.47660342540986467,173
CHEMBL262_Ki,42,overall,spearman,0.6703765337387766,173
CHEMBL262_Ki,42,overall,pearson,0.6992236359443935,173
CHEMBL262_Ki,42,cliff,rmse,0.8028764356227558,32
CHEMBL262_Ki,42,noncliff,rmse,0.7912227946374526,141
CHEMBL262_Ki,117,overall,rmse,0.7892719657169867,173
CHEMBL262_Ki,117,overall,mae,0.6179356724791586,173
CHEMBL262_Ki,117,overall,r2,0.4820243070154826,173
