scheme,family,task,metric,arm,point,is_leader,leader,ci_lo,ci_hi,vl_delta,vl_ci_lo,vl_ci_hi,vl_boot_p,bf_boot_p,bf_ci_lo,be_boot_p,be_ci_lo,vl_boot_q,bf_boot_q,be_boot_q,cobest,beats_frozen,beats_e2e
holdout,full,ESOL,rmse,unsup2sup:minimol_full,1.1415416532092626,False,fp_desc,0.9870546676505934,1.2750159976534918,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,sup_only:mixed,0.9285921984248691,False,fp_desc,0.8605627987856114,1.1241941712015469,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,unsup2sup:mixed,1.0299557248751323,False,fp_desc,0.8566809841201014,1.0985360211579032,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,ecfp4,195.82018534342447,False,fp_desc,185.1041225050533,205.82436953506968,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,fp_desc,194.8511962890625,True,fp_desc,183.14631249714802,204.70562100435433,,,,,,,,,,,,True,False,False
holdout,full,QM7,rmse,chemeleon_e2e,,False,fp_desc,,,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,no_pretrain,209.93144395616318,False,fp_desc,192.56238951776882,216.97213023841942,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,no_pretrain_e2e,205.08158587997605,False,fp_desc,189.74438805500478,212.74204424275777,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,unsup_only,206.0021786159939,False,fp_desc,193.76637012869764,218.14034768893163,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,sup_only:dense,202.59972635904947,False,fp_desc,187.55939977708948,209.4614302060067,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,unsup2sup:dense,205.91266377766928,False,fp_desc,191.31348800283362,213.8100477435764,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,sup_only:sparse_all,202.95972357855905,False,fp_desc,188.0151989614625,209.69670174198706,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,unsup2sup:sparse_all,202.80327521430118,False,fp_desc,190.90222935047467,213.52160457853077,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,sup_only:dense_plus_sparse,199.7109086778429,False,fp_desc,187.09987263538812,209.78263214762805,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,unsup2sup:dense_plus_sparse,206.39796108669705,False,fp_desc,192.63426791613938,214.87921217266754,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,sup_only:minimol_full,207.396240234375,False,fp_desc,196.34308782200986,221.37784951723035,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,unsup2sup:minimol_full,203.17213270399304,False,fp_desc,193.05224376027988,215.01721108157562,,,,,,,,,,,,False,False,False
holdout,full,QM7,rmse,sup_only:mixed,206.76897176106772,False,fp_desc,197.17621237308433,221.24829373490485,,,,,,,,,,,,False,False,False
