task,model,subset,mean,std,n_seeds,source
CHEMBL1871_Ki,CheMeleon,noncliff,0.5454118,0.03733722553377528,5,reference
CHEMBL1871_Ki,CheMeleon,cliff,0.8752594,0.07005403178861298,5,reference
CHEMBL1871_Ki,Chemprop,overall,0.7783972,0.02889062676647913,5,reference
CHEMBL1871_Ki,Chemprop,noncliff,0.6649128,0.028983706039083415,5,reference
CHEMBL1871_Ki,Chemprop,cliff,1.062002,0.030994137768294135,5,reference
CHEMBL1871_Ki,Chemprop_Mordred,overall,0.6786866,0.008199476193025978,5,reference
CHEMBL1871_Ki,Chemprop_Mordred,noncliff,0.6101488,0.01836699580660919,5,reference
CHEMBL1871_Ki,Chemprop_Mordred,cliff,0.8604508,0.03179920403657928,5,reference
CHEMBL1871_Ki,MLP_PLR_Pretrained,overall,0.7156122,0.028275020830407876,5,reference
CHEMBL1871_Ki,MLP_PLR_Pretrained,noncliff,0.6245212,0.025007453556090055,5,reference
CHEMBL1871_Ki,MLP_PLR_Pretrained,cliff,0.948804,0.04832229057070863,5,reference
CHEMBL1871_Ki,MoLFormer,overall,0.7389996,0.019168374981724436,5,reference
CHEMBL1871_Ki,MoLFormer,noncliff,0.677278,0.025992644551872755,5,reference
CHEMBL1871_Ki,MoLFormer,cliff,0.9072228,0.03297168899768405,5,reference
CHEMBL1871_Ki,MolCLR,overall,0.8795406,0.005687874879073923,5,reference
CHEMBL1871_Ki,MolCLR,noncliff,0.7426986,0.0048815435099976295,5,reference
CHEMBL1871_Ki,MolCLR,cliff,1.21696,0.016012336881292503,5,reference
CHEMBL1871_Ki,PCA_MLP,overall,0.7090842,0.04703976227575985,5,reference
CHEMBL1871_Ki,PCA_MLP,noncliff,0.6178762,0.03697592385539543,5,reference
CHEMBL1871_Ki,PCA_MLP,cliff,0.9423974,0.07332790424824648,5,reference
CHEMBL1871_Ki,PCA_MLP_Prefitted,overall,0.7146736,0.029854456461975664,5,reference
CHEMBL1871_Ki,PCA_MLP_Prefitted,noncliff,0.6255718,0.0245076258695125,5,reference
CHEMBL1871_Ki,PCA_MLP_Prefitted,cliff,0.9439432,0.04685082797731537,5,reference
CHEMBL1871_Ki,RF,overall,0.6744794,0.0017508135937329063,5,reference
CHEMBL1871_Ki,RF,noncliff,0.5861528,0.00417429617540488,5,reference
CHEMBL1871_Ki,RF,cliff,0.899848,0.00854109976525272,5,reference
CHEMBL1871_Ki,RF_Mordred,overall,0.6991132,0.0050193598954448426,5,reference
CHEMBL1871_Ki,RF_Mordred,noncliff,0.6115927999999999,0.007834175831572825,5,reference
CHEMBL1871_Ki,RF_Mordred,cliff,0.9242656,0.007187521926227448,5,reference
CHEMBL1871_Ki,RF_Morgan,overall,0.6650654,0.0018901489465118662,5,reference
CHEMBL1871_Ki,RF_Morgan,noncliff,0.5649446,0.005733844595033938,5,reference
CHEMBL1871_Ki,RF_Morgan,cliff,0.9135954000000001,0.010256178793293337,5,reference
CHEMBL1871_Ki,fastprop,overall,0.7070356,0.03825999352117039,5,reference
CHEMBL1871_Ki,fastprop,noncliff,0.6168364,0.03586494343840514,5,reference
CHEMBL1871_Ki,fastprop,cliff,0.9380876,0.050468883191923365,5,reference
CHEMBL1871_Ki,minimol,overall,0.6654588,0.031514164824091404,5,reference
CHEMBL1871_Ki,minimol,noncliff,0.5678796,0.03627938358682519,5,reference
CHEMBL1871_Ki,minimol,cliff,0.9081642,0.04056694430395271,5,reference
CHEMBL2034_Ki,CheMeleon,overall,0.6983204000000001,0.05222416329095181,5,reference
CHEMBL2034_Ki,CheMeleon,noncliff,0.629509,0.0449852053235283,5,reference
CHEMBL2034_Ki,CheMeleon,cliff,0.81421,0.06712112110207934,5,reference
CHEMBL2034_Ki,Chemprop,overall,0.9101366,0.03485202949958583,5,reference
CHEMBL2034_Ki,Chemprop,noncliff,0.8800076,0.07064402935733492,5,reference
CHEMBL2034_Ki,Chemprop,cliff,0.9612416,0.04513668646057221,5,reference
CHEMBL2034_Ki,Chemprop_Mordred,overall,0.7681614,0.02517639133474058,5,reference
CHEMBL2034_Ki,Chemprop_Mordred,noncliff,0.6567426000000001,0.03182014178849616,5,reference
CHEMBL2034_Ki,Chemprop_Mordred,cliff,0.9459955999999999,0.019517267366104325,5,reference
CHEMBL2034_Ki,MLP_PLR_Pretrained,overall,0.7650582,0.014739224381221707,5,reference
CHEMBL2034_Ki,MLP_PLR_Pretrained,noncliff,0.6504152,0.0196504945932666,5,reference
CHEMBL2034_Ki,MLP_PLR_Pretrained,cliff,0.9470496,0.019209516533218642,5,reference
CHEMBL2034_Ki,MoLFormer,overall,0.762055,0.013083777543202104,5,reference
CHEMBL2034_Ki,MoLFormer,noncliff,0.6354268,0.028411547810001474,5,reference
CHEMBL2034_Ki,MoLFormer,cliff,0.958852,0.024241084026915966,5,reference
CHEMBL2034_Ki,MolCLR,overall,0.924964,0.009948284837096314,5,reference
CHEMBL2034_Ki,MolCLR,noncliff,0.945337,0.011151629441476262,5,reference
CHEMBL2034_Ki,MolCLR,cliff,0.8844592,0.00804058819738955,5,reference
CHEMBL2034_Ki,PCA_MLP,overall,0.7449256,0.00882937820234246,5,reference
CHEMBL2034_Ki,PCA_MLP,noncliff,0.6275878,0.016403270861630008,5,reference
CHEMBL2034_Ki,PCA_MLP,cliff,0.9293998,0.023435254591320332,5,reference
CHEMBL2034_Ki,PCA_MLP_Prefitted,overall,0.7295024,0.013934411801005443,5,reference
CHEMBL2034_Ki,PCA_MLP_Prefitted,noncliff,0.6192748,0.016851795315633283,5,reference
CHEMBL2034_Ki,PCA_MLP_Prefitted,cliff,0.904381,0.014121429375243867,5,reference
CHEMBL2034_Ki,RF,overall,0.6480936,0.0036122339126917072,5,reference
CHEMBL2034_Ki,RF,noncliff,0.5683338,0.006103539609112076,5,reference
CHEMBL2034_Ki,RF,cliff,0.778819,0.003651020076636115,5,reference
CHEMBL2034_Ki,RF_Mordred,overall,0.6698802,0.006776315205183418,5,reference
CHEMBL2034_Ki,RF_Mordred,noncliff,0.5938492,0.007649785393068217,5,reference
CHEMBL2034_Ki,RF_Mordred,cliff,0.7958618,0.01183306422529684,5,reference
CHEMBL2034_Ki,RF_Morgan,overall,0.7362596,0.008781432174765095,5,reference
CHEMBL2034_Ki,RF_Morgan,noncliff,0.652109,0.012220752022686679,5,reference
CHEMBL2034_Ki,RF_Morgan,cliff,0.8755914,0.005794790991916795,5,reference
CHEMBL2034_Ki,fastprop,overall,0.7208994,0.007749218092169033,5,reference
CHEMBL2034_Ki,fastprop,noncliff,0.6041416,0.010046609509680362,5,reference
CHEMBL2034_Ki,fastprop,cliff,0.9039158,0.01143890456993153,5,reference
CHEMBL2034_Ki,minimol,overall,0.6435664,0.013488493846237997,5,reference
CHEMBL2034_Ki,minimol,noncliff,0.5497118,0.008454791384771102,5,reference
CHEMBL2034_Ki,minimol,cliff,0.7926364,0.04091155696181703,5,reference
CHEMBL2047_EC50,CheMeleon,overall,0.6100258000000001,0.0076913904438664265,5,reference
CHEMBL2047_EC50,CheMeleon,noncliff,0.5733356000000001,0.021233476065872947,5,reference
CHEMBL2047_EC50,CheMeleon,cliff,0.662225,0.027718163770351016,5,reference
CHEMBL2047_EC50,Chemprop,overall,0.7553818,0.0635524811361445,5,reference
CHEMBL2047_EC50,Chemprop,noncliff,0.7519548,0.07565381303648876,5,reference
CHEMBL2047_EC50,Chemprop,cliff,0.760012,0.04952650657981038,5,reference
CHEMBL2047_EC50,Chemprop_Mordred,overall,0.731628,0.037287255495678406,5,reference
CHEMBL2047_EC50,Chemprop_Mordred,noncliff,0.7327918,0.0711239095112185,5,reference
CHEMBL2047_EC50,Chemprop_Mordred,cliff,0.7257924,0.038922837571790665,5,reference
CHEMBL2047_EC50,MLP_PLR_Pretrained,overall,0.7152976,0.015455655619869358,5,reference
CHEMBL2047_EC50,MLP_PLR_Pretrained,noncliff,0.7280522,0.020082598192465023,5,reference
CHEMBL2047_EC50,MLP_PLR_Pretrained,cliff,0.6948494,0.009919229135371382,5,reference
CHEMBL2047_EC50,MoLFormer,overall,0.653356,0.018824002921801728,5,reference
CHEMBL2047_EC50,MoLFormer,noncliff,0.632287,0.0381792556030104,5,reference
CHEMBL2047_EC50,MoLFormer,cliff,0.6838052,0.013175321436686106,5,reference
CHEMBL2047_EC50,MolCLR,overall,0.8249346,0.010714661835074395,5,reference
CHEMBL2047_EC50,MolCLR,noncliff,0.83233,0.008983365716701046,5,reference
CHEMBL2047_EC50,MolCLR,cliff,0.8132412,0.014277730973792745,5,reference
CHEMBL2047_EC50,PCA_MLP,overall,0.7065024,0.007829359222822784,5,reference
CHEMBL2047_EC50,PCA_MLP,noncliff,0.7053692,0.020901927828791304,5,reference
CHEMBL2047_EC50,PCA_MLP,cliff,0.7076018000000001,0.0204204351315049,5,reference
CHEMBL2047_EC50,PCA_MLP_Prefitted,overall,0.6968406,0.015492859343581458,5,reference
CHEMBL2047_EC50,PCA_MLP_Prefitted,noncliff,0.6913544,0.027824711524829848,5,reference
CHEMBL2047_EC50,PCA_MLP_Prefitted,cliff,0.7041238,0.03292319103853696,5,reference
CHEMBL2047_EC50,RF,overall,0.6236942,0.0020009286244141787,5,reference
CHEMBL2047_EC50,RF,noncliff,0.6159838,0.0035833185401245174,5,reference
