task,model,metric,mean,std,n_seeds,source,leak_flag
tdcommons/cyp2d6-substrate-carbonmangels,skip_dense_8M,pr_auc,0.6250605592428067,0.009908211731109725,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,skip_dense_8M,roc_auc,0.6607896323086196,0.015466070034354882,3,ours,False
tdcommons/dili,skip_dense_8M,roc_auc,0.9191304347826087,0.003094805290443832,3,ours,False
tdcommons/half-life-obach,skip_dense_8M,spearmanr,0.1711584055978033,0.03154450939713097,3,ours,False
tdcommons/herg,skip_dense_8M,roc_auc,0.7705940108001964,0.01623388018278411,3,ours,False
tdcommons/ld50-zhu,skip_dense_8M,mean_absolute_error,0.637976877432317,0.012658750251745725,3,ours,True
tdcommons/lipophilicity-astrazeneca,skip_dense_8M,mean_absolute_error,0.6273810040403817,0.01599439988463502,3,ours,False
tdcommons/pgp-broccatelli,skip_dense_8M,roc_auc,0.8800764240646939,0.0011050235595349235,3,ours,True
tdcommons/ppbr-az,skip_dense_8M,mean_absolute_error,10.005977937642953,0.040490517002065664,3,ours,False
tdcommons/vdss-lombardo,skip_dense_8M,spearmanr,0.17244299158193654,0.03469017682467115,3,ours,True
polaris/adme-fang-hclint-1,skip_dense_plus_sparse_8M,pearsonr,0.6289311197315941,0.0027843221520158445,3,ours,False
polaris/adme-fang-hppb-1,skip_dense_plus_sparse_8M,pearsonr,0.7198002974897612,0.008222460018467425,3,ours,False
polaris/adme-fang-perm-1,skip_dense_plus_sparse_8M,pearsonr,0.6399327113335004,0.0063843488503282884,3,ours,False
polaris/adme-fang-rclint-1,skip_dense_plus_sparse_8M,pearsonr,0.6132297165091799,0.006794274050925881,3,ours,False
polaris/adme-fang-rppb-1,skip_dense_plus_sparse_8M,pearsonr,0.6310552567304591,0.008105057200961798,3,ours,False
polaris/adme-fang-solu-1,skip_dense_plus_sparse_8M,pearsonr,0.5432637687116144,0.002012005969795815,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,skip_dense_plus_sparse_8M,mean_squared_error,635.0356255749319,40.97835186281214,3,ours,False
polaris/pkis2-kit-wt-cls-v2,skip_dense_plus_sparse_8M,pr_auc,0.4971954159883829,0.010736047272269754,3,ours,False
polaris/pkis2-kit-wt-reg-v2,skip_dense_plus_sparse_8M,mean_squared_error,1042.3270018851115,41.00782504741919,3,ours,False
polaris/pkis2-ret-wt-cls-v2,skip_dense_plus_sparse_8M,pr_auc,0.3607806096477471,0.00412092939957739,3,ours,False
polaris/pkis2-ret-wt-reg-v2,skip_dense_plus_sparse_8M,mean_squared_error,1041.173948839889,37.52118069964648,3,ours,False
tdcommons/ames,skip_dense_plus_sparse_8M,roc_auc,0.8100439274967854,0.0030977215486983913,3,ours,True
tdcommons/bbb-martins,skip_dense_plus_sparse_8M,roc_auc,0.8920158432353554,0.0009073632138044655,3,ours,True
tdcommons/bioavailability-ma,skip_dense_plus_sparse_8M,roc_auc,0.6522558474670214,0.004174297834777284,3,ours,False
tdcommons/caco2-wang,skip_dense_plus_sparse_8M,mean_absolute_error,0.5219513723530156,0.04288284457662846,3,ours,False
tdcommons/clearance-hepatocyte-az,skip_dense_plus_sparse_8M,spearmanr,0.3888301131253141,0.002614725021694422,3,ours,False
tdcommons/clearance-microsome-az,skip_dense_plus_sparse_8M,spearmanr,0.476579025210696,0.029273705355222016,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,skip_dense_plus_sparse_8M,pr_auc,0.4616913352081467,0.007148866654204241,3,ours,False
tdcommons/cyp2d6-substrate-carbonmangels,skip_dense_plus_sparse_8M,pr_auc,0.6383532179844446,0.02301154471883096,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,skip_dense_plus_sparse_8M,roc_auc,0.6637281494876431,0.009647306852121312,3,ours,False
tdcommons/dili,skip_dense_plus_sparse_8M,roc_auc,0.9376811594202898,0.0035558968540246962,3,ours,False
tdcommons/half-life-obach,skip_dense_plus_sparse_8M,spearmanr,0.2530645826635163,0.02651350627531349,3,ours,False
tdcommons/herg,skip_dense_plus_sparse_8M,roc_auc,0.7695139911634757,0.01645798532512399,3,ours,False
tdcommons/ld50-zhu,skip_dense_plus_sparse_8M,mean_absolute_error,0.6609117883967037,0.007043973516660908,3,ours,True
tdcommons/lipophilicity-astrazeneca,skip_dense_plus_sparse_8M,mean_absolute_error,0.6057289731735465,0.003583416353276463,3,ours,False
tdcommons/pgp-broccatelli,skip_dense_plus_sparse_8M,roc_auc,0.9124011374744512,0.002541023971995504,3,ours,True
tdcommons/ppbr-az,skip_dense_plus_sparse_8M,mean_absolute_error,9.043718169587859,0.0543415879660632,3,ours,False
tdcommons/vdss-lombardo,skip_dense_plus_sparse_8M,spearmanr,0.11798664426565245,0.030691229520494738,3,ours,True
polaris/adme-fang-hclint-1,skip_minimol_full_8M,pearsonr,0.4757531511868939,0.0017215690731710695,3,ours,False
polaris/adme-fang-hppb-1,skip_minimol_full_8M,pearsonr,0.5968088309478853,0.007935192273831465,3,ours,False
polaris/adme-fang-perm-1,skip_minimol_full_8M,pearsonr,0.5621026766915557,0.015590033240548423,3,ours,False
polaris/adme-fang-rclint-1,skip_minimol_full_8M,pearsonr,0.4199862146125556,0.01204743830019257,3,ours,False
polaris/adme-fang-rppb-1,skip_minimol_full_8M,pearsonr,0.6491533873730002,0.011293909826092947,3,ours,False
polaris/adme-fang-solu-1,skip_minimol_full_8M,pearsonr,0.4575478370254123,0.025124873593518053,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,skip_minimol_full_8M,mean_squared_error,656.5278312329067,6.657438217220148,3,ours,False
polaris/pkis2-kit-wt-cls-v2,skip_minimol_full_8M,pr_auc,0.5793962001199171,0.03923895351829881,3,ours,False
polaris/pkis2-kit-wt-reg-v2,skip_minimol_full_8M,mean_squared_error,988.6633415507843,6.063588226257029,3,ours,False
polaris/pkis2-ret-wt-cls-v2,skip_minimol_full_8M,pr_auc,0.5821505279773601,0.02009212880043844,3,ours,False
polaris/pkis2-ret-wt-reg-v2,skip_minimol_full_8M,mean_squared_error,911.8602563626301,53.14524433919169,3,ours,False
tdcommons/ames,skip_minimol_full_8M,roc_auc,0.7289268767092887,0.0022029128830269966,3,ours,True
tdcommons/bbb-martins,skip_minimol_full_8M,roc_auc,0.8156269543464666,0.0023297471235039086,3,ours,True
tdcommons/bioavailability-ma,skip_minimol_full_8M,roc_auc,0.5582529653031814,0.00826427173023646,3,ours,False
tdcommons/caco2-wang,skip_minimol_full_8M,mean_absolute_error,0.5710674185044775,0.037334374029178524,3,ours,False
tdcommons/clearance-hepatocyte-az,skip_minimol_full_8M,spearmanr,0.26292358474419547,0.0071749361953367275,3,ours,False
tdcommons/clearance-microsome-az,skip_minimol_full_8M,spearmanr,0.35464660672969506,0.022770561162506364,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,skip_minimol_full_8M,pr_auc,0.3977148071245226,0.02858912439761993,3,ours,False
tdcommons/cyp2d6-substrate-carbonmangels,skip_minimol_full_8M,pr_auc,0.6042408353223744,0.024013151102028507,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,skip_minimol_full_8M,roc_auc,0.5972724532851116,0.01192429783969872,3,ours,False
tdcommons/dili,skip_minimol_full_8M,roc_auc,0.8127536231884058,0.00468723525472357,3,ours,False
